artists,track_name,track_id,popularity,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
Drake,Marvins Room,047fCsbO4NdmwCBn8pcUXl,76,347227,0.492,0.26,9,-17.341,0,0.0921,0.646,0.00178,0.0705,0.312,111.519,5,Hip-Hop
Karen Dalton,Something On Your Mind,6Vz2IQv3AYoznh4tjsrRPo,0,203333,0.41,0.598,2,-8.515,1,0.0405,0.55,0.00274,0.092,0.262,76.445,4,Soundtrack
Duster,Light Years,5KYUVIEv6s9e1OLXo7unvU,48,218760,0.234,0.409,0,-15.705,1,0.0318,0.821,0.888,0.155,0.0519,160.105,1,Soundtrack
Natalie Imbruglia,Torn,1Jaah2tmN9Hv81A87KZ1MU,80,244667,0.575,0.886,5,-5.182,1,0.034,0.0647,0.000187,0.709,0.609,96.31,4,Dance
Tatsuro Yamashita,キスカ,6ggCUjC5j2uhighYnTee8X,46,325533,0.609,0.761,1,-7.178,1,0.034,0.108,0.761,0.141,0.671,91.823,4,Jazz
Hovvdy,Junior Day League,5uG5FCv3MYbn9QqTprKKHy,26,203000,0.821,0.725,8,-6.997,1,0.0298,0.131,0.0134,0.0955,0.924,123.976,4,Reggae
Hovvdy,Portrait,373VRQ3zCZuABm0SSZ8OY4,36,182133,0.555,0.522,7,-11.18,1,0.0358,0.598,1.56e-05,0.354,0.694,114.554,4,Blues
Hovvdy,Forever,64QEDKqiHt6bSU6zHNwKsv,43,208440,0.588,0.68,7,-7.586,1,0.027,0.287,0.211,0.323,0.395,93.016,4,Folk
ScHoolboy Q,Pig feet (feat. Childish Major),136vuV2kKsdloNJ1lxPiWh,58,195039,0.556,0.518,8,-8.661,1,0.306,0.346,5.71e-06,0.202,0.0772,145.042,4,Hip-Hop
Hovvdy,I Never Wanna Make You Sad,0LjBAXfGmpz6DNApfCidcM,25,273093,0.615,0.536,0,-6.985,1,0.025,0.287,0.927,0.236,0.601,135.011,4,Blues
