id,artists,track_name,track_id,popularity,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
78095,Earl Sweatshirt,Grief,47A4a2ZxJaZz5nBME2HtXs,48,250640,0.645,0.589,8,-6.171,1,0.173,0.479,0.158,0.0924,0.616,89.971,4.0,Alternative
78213,Earl Sweatshirt,AM // Radio,3cR19PDGb6w48V96kMaZOf,48,242547,0.47,0.389,9,-7.532,1,0.0725,0.162,0.00718,0.225,0.524,82.365,3.0,Alternative
78430,Earl Sweatshirt,Veins,2EQMxDwbcaaGIKb7EPDfLF,48,119587,0.354,0.897,10,-2.262,0,0.249,0.0308,2.13e-05,0.629,0.771,77.871,3.0,Alternative
78576,Earl Sweatshirt,Molasses,7lhkOb0VNnTlshwifCEoSr,48,136440,0.503,0.755,1,-4.811,1,0.265,0.0307,0.0,0.266,0.807,79.422,4.0,Alternative
78716,Earl Sweatshirt,Playing Possum (feat. Cheryl Harris & Keorapetse Kgositsile),1qqEKh4wmdcQGG1c2z8sH0,46,94987,0.311,0.735,1,-6.164,1,0.246,0.45,0.0138,0.688,0.443,113.484,,Alternative
78736,Earl Sweatshirt,Loosie,77Zm1VR4gVmpUL9n7QOcmD,47,59293,0.396,0.859,7,-3.365,1,0.298,0.38,0.0,0.672,0.658,59.64,4.0,Alternative
79041,Earl Sweatshirt,Mantra,7kF3pqmT3wAYq8m8HsGoOB,47,228867,0.502,0.801,1,-9.49,1,0.409,0.303,7.27e-06,0.199,0.334,98.247,4.0,Alternative
79069,Arcade Fire,Reflektor,2LWMF10STZqYY9a3YqBiOG,53,453949,0.59,0.721,11,-8.32,0,0.0317,0.0438,0.0155,0.352,0.656,111.524,4.0,Alternative
79215,Earl Sweatshirt,Pre,4B31QOL13iBeuIsaGD20BS,46,172493,0.668,0.577,9,-6.984,1,0.0634,0.149,0.00111,0.182,0.557,99.957,4.0,Alternative
79420,Earl Sweatshirt,20 Wave Caps,0yNecIrNLTIsF5ULCraPgl,46,132373,0.498,0.748,8,-7.218,1,0.434,0.0582,0.0,0.281,0.426,77.601,4.0,Alternative
79476,Earl Sweatshirt,Knight,2LbL1HaoZrXrCR538uxUjl,46,193920,0.478,0.801,11,-8.344,0,0.456,0.446,6.18e-05,0.362,0.551,84.679,4.0,Alternative
79613,Arcade Fire,Modern Man,2EIEJ1zpvjpHuL6eWKGDZ8,50,279760,0.681,0.699,9,-7.307,1,0.0329,0.296,0.0301,0.117,0.601,122.254,4.0,Alternative
79621,Arcade Fire,We Used to Wait,37EmPMVwdBaKs7UhJOkHUU,50,301400,0.573,0.642,8,-7.239,1,0.0279,0.0734,0.0232,0.105,0.49,120.753,4.0,Alternative
79644,Blur,Coffee and TV,5eSllZgRWCIJsDTAqFRwQw,61,319227,0.733,0.781,1,-8.274,0,0.0367,0.0354,0.261,0.0878,0.965,121.614,4.0,Alternative
79654,Arcade Fire,No Cars Go,51xBgzcyzojRpqFW2ICQAB,53,343627,0.324,0.772,1,-6.95,1,0.0371,0.000609,0.173,0.12,0.291,135.737,4.0,Alternative
79702,Earl Sweatshirt,Peanut,4N5QbNdzjLT9jSdnCgIOxP,46,73733,0.36,0.624,1,-6.777,1,0.26,0.348,4.14e-06,0.264,0.529,77.196,4.0,Alternative
79745,Earl Sweatshirt,Inside,6e1Vn7zlOKQ14SdOfAZlpS,45,109920,0.701,0.557,9,-9.889,0,0.312,0.162,0.0,0.153,0.371,142.028,4.0,Alternative
79794,Arcade Fire,Keep the Car Running,4KjdLo9JWJEKYoAJ8spkat,51,209093,0.474,0.902,2,-6.261,1,0.0349,0.362,0.0218,0.0618,0.279,96.342,4.0,Alternative
80038,Arcade Fire,Afterlife,6D43oUO6nImERk2psfXdNY,52,352755,0.653,0.874,11,-5.543,1,0.0362,0.109,0.0385,0.228,0.743,115.983,4.0,Alternative
80118,Earl Sweatshirt,DNA,0oOvCyoDVfZ5FOQzR6hxoR,45,232373,0.876,0.553,1,-9.209,1,0.236,0.498,0.000649,0.186,0.326,119.983,4.0,Alternative
