artists,track_name,track_id,popularity,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,similarity
Sara Watkins,Young In All The Wrong Ways,1EYIDanK6mrRnFT9yYmfUk,47,258200,0.466,0.463,9,-8.851,1,0.0322,0.413,3.82e-05,0.0949,0.382,140.616,4.0,Folk,0.8999657336201424
Fiona Apple,Fast As You Can,1UmmSKPdCtBuJsmbZG9G3u,44,278267,0.46,0.772,0,-9.233,1,0.0445,0.131,0.0417,0.0527,0.532,138.002,4.0,Folk,0.8999656124018196
The Deep Dark Woods,The Place I Left Behind,7BbAqle8lyB3S56Q9MPTZB,51,244840,0.49,0.463,9,-8.455,1,0.0326,0.159,0.0771,0.117,0.409,125.989,4.0,Folk,0.8999655849339118
James Morrison,Until The Stars Go Out,2nktofG1c0CP4VmsUYBLTR,36,206453,0.471,0.373,1,-8.958,1,0.0289,0.22,0.0,0.079,0.28,137.545,4.0,Folk,0.8999652675184151
Fiona Apple,Sleep to Dream,51HiIbv8gO0HvwpmAxXAFe,48,248560,0.725,0.575,2,-9.769,1,0.0511,0.0301,4.84e-05,0.136,0.757,144.157,4.0,Folk,0.8999652665993044
Beck,Paper Tiger,799azdZNV34Z1w8CQ1z9ds,46,275533,0.367,0.53,9,-9.876,1,0.0377,0.121,0.555,0.144,0.482,142.055,4.0,Folk,0.8999652195661845
Wilco,War on war,0ZQ0AYmoSQqmPYtI9JP9F9,44,227667,0.65,0.833,9,-8.446,1,0.0297,0.0323,0.00386,0.233,0.677,131.184,4.0,Folk,0.8999651559986646
Car Seat Headrest,Famous Prophets (Stars),5LnFURDZ1n3psF1IhjKkfe,48,970465,0.476,0.326,9,-9.597,1,0.0296,0.0982,0.228,0.33,0.173,137.963,4.0,Folk,0.8999647770840298
Car Seat Headrest,Famous Prophets (Stars),0E9jxLf6Jt9QasvRjTCpkv,44,970465,0.477,0.325,9,-9.598,1,0.0296,0.0988,0.226,0.33,0.172,137.884,4.0,Folk,0.8999646445523382
James Vincent McMorrow,Evil - RAC Mix,6R742dF4R83RaW7FHAJ5r9,43,264667,0.58,0.451,9,-9.451,1,0.0297,0.918,0.00208,0.123,0.295,144.002,4.0,Folk,0.8999644134853407
Rhye,Stay Safe,2s4z1J7yMhMYtSLgRxzQwq,53,292240,0.808,0.417,9,-10.002,1,0.0471,0.615,0.353,0.0673,0.598,142.053,4.0,Folk,0.8999642274607536
Mumford & Sons,The Cave,2F79HavLHwJlfvvJOkkIQD,62,215626,0.592,0.499,4,-9.463,1,0.0375,0.0536,4.52e-05,0.113,0.346,141.937,4.0,Folk,0.899964120713117
Richard & Linda Thompson,I Want To See The Bright Lights Tonight,3jd3nPQtwKS3HY6A8XpXx5,38,189587,0.671,0.45,0,-9.572,1,0.036,0.32,0.000301,0.0589,0.788,139.584,4.0,Folk,0.8999641193490938
Caamp,So Cool,3GgdEZJy5bxm2ZjC90ibDC,64,179068,0.58,0.469,4,-10.02,1,0.0332,0.57,0.0122,0.193,0.56,152.867,4.0,Folk,0.8999639812828685
Faces,Ooh La La - 2015 Remastered Version,6TNNMVpOgn8K5NoDC7alG6,69,214960,0.603,0.494,2,-10.27,1,0.0301,0.428,0.000171,0.0894,0.729,147.814,4.0,Folk,0.8999639760918479
The Pogues,If I Should Fall From Grace With God,1Z5rTFsClLFgsIGuZ7Ymt2,45,140693,0.454,0.952,9,-8.938,1,0.0536,0.015,0.0178,0.142,0.589,129.678,4.0,Folk,0.8999638200691964
Caamp,I Keep Going,6K9C0hk2QVGtHZvUehNFNl,45,166000,0.496,0.838,3,-9.342,1,0.0378,0.295,0.0759,0.0994,0.721,141.41,4.0,Folk,0.8999638160717439
Birdtalker,Blue Healer,5igrAKYGCpB81myxGig5Mw,52,318829,0.595,0.5,4,-9.495,1,0.0354,0.437,0.251,0.202,0.3,144.03,4.0,Folk,0.8999637576061739
Real Estate,Primitive,7IIV0Mt1RCpPXPFHxVH67i,46,256973,0.511,0.717,9,-8.868,1,0.0282,0.204,0.615,0.0664,0.562,132.729,4.0,Folk,0.8999634505151434
Modest Mouse,Talking Shit About a Pretty Sunset,5PrPN445xZxYuMD4nIR1UC,45,350493,0.473,0.714,4,-9.16,1,0.0402,0.506,0.00287,0.159,0.31,138.347,4.0,Folk,0.8999632114888853
Arthur Russell,The Platform On The Ocean,53MlvuuzCWsBqALgJggYyP,40,484933,0.67,0.576,9,-9.987,1,0.0358,0.193,0.0594,0.129,0.756,152.715,4.0,World,0.8499698316296301
Mulatu Astatke,Asiyo Bellema feat. Frank Holder & Niaaza Alsherif,2ux9ByQoKx8MMV3DlGsnZq,30,172467,0.544,0.787,9,-9.236,1,0.132,0.576,0.0141,0.0955,0.78,138.422,4.0,World,0.849967745513652
Pedro Luís;Batman Zavareze;Jade Baraldo,Faz um Carnaval Comigo,0tO57Q9icuKRY2GKYD5WHt,40,212469,0.719,0.525,9,-8.932,1,0.0653,0.289,0.0,0.276,0.811,135.959,4.0,World,0.8499675807640293
