id,artists,track_name,track_id,popularity,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
87559,The Smiths,Well I Wonder - 2011 Remaster,3OS4XXm4S42pnESQmtN9MG,54,239427,0.643,0.59,11,-10.843,0,0.0284,0.0806,0.00578,0.174,0.818,126.651,4.0,Dance
87605,The Smiths,The Headmaster Ritual - 2011 Remaster,4tFGNFIIZ9ANSewxGZyiDD,54,295440,0.388,0.955,9,-6.184,1,0.0411,0.00201,0.0366,0.146,0.693,150.352,4.0,Dance
87616,The Smiths,Pretty Girls Make Graves - 2011 Remaster,3wUMcPzXcmaeW8QxTdyXQO,54,223253,0.614,0.663,6,-9.059,0,0.0265,0.00543,5.3e-06,0.199,0.778,116.217,4.0,Dance
87635,The Smiths,Bigmouth Strikes Again - 2017 Master,1JXpzsOgH0lA3JU7wyRzwJ,56,191920,0.399,0.904,1,-4.607,0,0.041,0.0474,1.35e-06,0.532,0.879,134.892,4.0,Dance
87639,The Smiths,Stop Me If You Think You've Heard This One Before - 2011 Remaster,2JN57QFclho4vExKPq6OYg,55,215573,0.569,0.856,0,-6.668,0,0.0281,0.0048,7.33e-06,0.0873,0.66,134.181,4.0,Dance
87754,The Smiths,Still Ill - 2011 Remaster,0uLI1jac8ZJSSRG4QJDo3J,54,201747,0.404,0.927,9,-7.568,1,0.146,0.0112,0.00678,0.163,0.49,175.11,4.0,Dance
87807,The Smiths,The Boy with the Thorn in His Side - 2017 Master,1SuVJpFhGQOSBAB6VUpHYH,56,195880,0.502,0.901,7,-4.467,1,0.0459,0.188,4.89e-05,0.28,0.821,119.022,4.0,Dance
87924,The Smiths,What Difference Does It Make? - John Peel session 5/18/83,65E3ajL0Yz7kljk89Qdm6Q,55,192200,0.371,0.962,1,-5.582,0,0.0611,6.26e-05,0.000227,0.0942,0.457,158.896,4.0,Dance
88083,The Smiths,A Rush and a Push and the Land Is Ours - 2011 Remaster,6Ps04Nfh2PySU4fIPZWxrU,54,183013,0.67,0.64,10,-9.024,1,0.0268,0.114,5.45e-06,0.259,0.633,110.14,4.0,Dance
88408,The Smiths,Asleep - 2008 Remaster,6ylnImVpCCEmXFUD3PZySf,54,250280,0.51,0.255,0,-15.903,1,0.0291,0.883,0.55,0.0696,0.188,115.115,3.0,Dance
88549,The Smiths,Half a Person - 2011 Remaster,3ccAZx3wLZDVB2Nq6rikf9,53,218440,0.608,0.73,6,-8.698,0,0.0291,0.0266,0.0,0.0565,0.614,120.601,4.0,Dance
88670,The Smiths,Barbarism Begins at Home - 2011 Remaster,35WDTZhAwkoBF65jGTzF2O,53,413427,0.533,0.793,9,-5.953,1,0.0374,0.0277,0.0429,0.327,0.91,127.397,4.0,Dance
88673,The Smiths,I Don't Owe You Anything - 2011 Remaster,4WKdgb3xzbTSU7WT3kK3na,52,244640,0.696,0.432,4,-9.881,1,0.0269,0.0179,0.0,0.142,0.597,113.307,4.0,Dance
89000,The Smiths,Cemetry Gates - 2011 Remaster,03yOjwHoOPDlTUg0NRxN6t,52,161040,0.55,0.796,7,-7.007,1,0.0306,0.151,0.0,0.222,0.622,105.354,4.0,Dance
89059,The Smiths,Reel Around the Fountain - 2011 Remaster,5bSASu4W0HJx6CuG8rbRcA,52,359227,0.67,0.571,9,-9.976,1,0.0255,0.00507,7.23e-05,0.124,0.899,109.905,4.0,Dance
89141,The Smiths,Hand in Glove - 2011 Remaster,2JZu2ny6Et9wFic99sMF7x,53,202587,0.445,0.89,0,-7.242,0,0.0354,8.97e-05,0.000176,0.284,0.915,141.802,4.0,Dance
89220,The Smiths,"William, It Was Really Nothing - 2011 Remaster",6SwqPZs0XuSnyqkbnkkAjQ,53,131600,0.517,0.939,2,-4.929,1,0.0441,0.0482,0.000574,0.334,0.487,130.661,4.0,Dance
93650,Radiohead,Sulk,4HtPAkZnSyGtNvBnfDc2nw,49,222960,0.167,0.636,9,-7.4,1,0.0382,0.00397,0.228,0.106,0.671,97.293,3.0,Alternative
93711,The Strokes,The Way It Is,5MZBOcqI3Vpvp2PZy6ddyD,41,141502,0.481,0.943,11,-2.592,1,0.0495,0.000179,0.865,0.0985,0.877,137.091,4.0,Alternative
93773,The Smashing Pumpkins,Jellybelly - Remastered 2012,6912SIXb1G9ql3quOxeCaa,42,181533,0.209,0.836,1,-8.158,1,0.0567,2.2e-06,0.873,0.191,0.505,116.898,4.0,Alternative
93800,The Smashing Pumpkins,Bodies - Remastered 2012,4A0f5CrcOYRVwihIQkcHdP,43,252200,0.401,0.918,8,-8.204,0,0.0693,5.01e-06,0.881,0.365,0.379,108.297,4.0,Alternative
94034,Radiohead,Paranoid Android - Remastered,1QgI14YcWg3tOobXjzlNMl,52,383973,0.332,0.826,2,-7.269,0,0.0497,0.0275,0.0084,0.234,0.216,125.636,4.0,Alternative
94059,Radiohead,Sail To The Moon,5olWalQH1oVza5D6xJg4oX,47,258360,0.372,0.295,9,-10.949,0,0.0315,0.797,0.552,0.0977,0.054,111.871,4.0,Alternative
122657,Blood Orange,Runnin’,7eCJ3bONwNeNDViF383s1E,54,235489,0.626,0.414,11,-10.631,0,0.109,0.412,0.00137,0.147,0.388,179.992,4.0,R&B
123080,Blood Orange,Dagenham Dream,7wA6K5a70ApY3Ypgqg4Gbz,51,165395,0.53,0.399,1,-11.211,1,0.127,0.589,1.07e-05,0.109,0.497,177.193,4.0,R&B
123128,Blood Orange,Nappy Wonder,2ZGZV976wWwuA3qI3Q0q9k,51,158131,0.657,0.481,1,-8.503,0,0.0815,0.799,6.03e-06,0.105,0.161,88.348,4.0,R&B
123560,Blood Orange,Smoke - Remix,22Fvc0gkf7ZCNQEQ2Oxj6D,49,280473,0.702,0.493,6,-8.943,0,0.267,0.456,1.18e-06,0.262,0.434,91.047,4.0,R&B
127827,Childish Gambino,This Is America,0b9oOr2ZgvyQu88wzixux9,81,225773,0.854,0.463,5,-6.159,1,0.137,0.117,0.0,0.354,0.549,120.024,4.0,Hip-Hop
127902,Childish Gambino,Redbone,0wXuerDYiBnERgIpbb3JBR,78,326933,0.743,0.347,1,-11.174,1,0.121,0.167,0.00951,0.103,0.572,160.143,4.0,Hip-Hop
127966,Childish Gambino,Feels Like Summer,7p4vHnYXkxlzvfePJVpcTr,76,297404,0.554,0.596,7,-8.214,1,0.13,0.162,0.00482,0.0805,0.255,165.728,4.0,Hip-Hop
128010,Childish Gambino,Summertime Magic,4j3GWI86JvSaF0BLdmgcfF,74,213600,0.76,0.579,0,-7.374,1,0.0569,0.0129,0.00351,0.106,0.125,100.01,4.0,Hip-Hop
128083,Childish Gambino,3005,2ZltjIqztEpZtafc8w0I9t,69,234215,0.472,0.448,6,-7.272,0,0.326,0.113,0.0,0.0914,0.636,166.077,4.0,Hip-Hop
128161,Childish Gambino,Sober,5NhlpQ6BOIz3S5welptk1W,71,252026,0.707,0.562,0,-7.621,1,0.0305,0.124,1.58e-05,0.561,0.418,98.094,4.0,Hip-Hop
128204,Childish Gambino,IV. Sweatpants,00GOPLxW4PGQuUYdPJh8K1,68,180675,0.71,0.47,1,-9.33,0,0.142,0.154,0.0,0.643,0.581,80.027,4.0,Hip-Hop
128346,Childish Gambino,Bonfire,799f6Ih1Pu4AUApMyXhxUc,66,192947,0.506,0.745,8,-6.044,1,0.331,0.0594,0.0,0.341,0.311,161.808,4.0,Hip-Hop
128767,Childish Gambino,Freaks And Geeks,7xTY3rJMgj0nh6OOPHgsLw,65,217104,0.667,0.873,10,-5.605,1,0.314,0.124,0.0,0.0725,0.799,81.052,4.0,Hip-Hop
129124,Childish Gambino,Me and Your Mama,31tf1qEai5o5f4r66Kd0pU,63,379227,0.534,0.433,5,-12.628,1,0.0357,0.0116,0.0452,0.0667,0.235,117.834,3.0,Hip-Hop
129229,Childish Gambino,Heartbeat,3WWAvWDBQANpJeNbvVbjMg,60,269840,0.8,0.545,1,-7.002,0,0.126,0.00373,0.000507,0.0445,0.292,119.965,4.0,Hip-Hop
129292,Childish Gambino,I. The Worst Guys,17wxjHNmOSstc6nVIe401T,60,219740,0.593,0.639,5,-7.558,0,0.114,0.0572,0.0,0.0622,0.347,97.088,4.0,Hip-Hop
129567,Childish Gambino,"III. Telegraph Ave. (""Oakland"" by Lloyd)",0VXfZi7XhfJnuBvF6XiypU,59,210673,0.496,0.693,5,-9.576,0,0.247,0.159,0.0261,0.142,0.597,129.929,4.0,Hip-Hop
130289,Childish Gambino,Retro (Rough),1nRTH500HbZX8PYwT4ZMby,58,202667,0.862,0.614,5,-5.875,0,0.0393,0.246,0.00757,0.113,0.323,110.061,4.0,Hip-Hop
130522,Childish Gambino,II. Worldstar,79ADanDPMKL9FdjJmdtNj5,55,244652,0.705,0.598,5,-9.684,1,0.141,0.347,0.159,0.135,0.229,119.985,4.0,Hip-Hop
130769,Childish Gambino,I.Crawl,0ccmrEgpKa5iFvijTxIrGf,54,209473,0.588,0.539,6,-8.816,1,0.0396,0.0445,4.82e-06,0.121,0.343,132.976,4.0,Hip-Hop
130913,Childish Gambino,Lights Turned On,48otelBlQznqDX6Uuio485,56,233405,0.699,0.914,3,-6.769,0,0.212,0.0359,0.0,0.35,0.511,125.001,4.0,Hip-Hop
130949,Childish Gambino,California,6Ik9aiuaoEYxsEKGdQaEJB,56,165267,0.879,0.419,3,-11.931,1,0.592,0.315,0.0,0.118,0.847,148.993,4.0,Hip-Hop
131000,Childish Gambino,Not Going Back,4sy3B9TPNMIze8oFrDJnUN,56,280870,0.654,0.668,5,-9.135,0,0.248,0.196,0.0,0.0999,0.378,95.142,4.0,Hip-Hop
135723,Blood Orange,Holy Will,6ImkphIMAbZRkZOJuVrTA2,49,262098,0.303,0.255,0,-15.669,1,0.062,0.62,7.2e-05,0.162,0.182,85.779,4.0,R&B
135758,Blood Orange,Vulture Baby,0wlXb1TAj96igP2GJdqa3b,49,74478,0.531,0.258,2,-19.575,0,0.0304,0.747,0.495,0.347,0.512,73.708,4.0,R&B
135808,Blood Orange,Augustine,4sln3hvqGxLEUCcAmTO4pR,49,231189,0.75,0.606,6,-9.928,1,0.0726,0.153,0.000289,0.316,0.115,119.99,4.0,R&B
135932,Blood Orange,Forget It,3tG9bIkgwDNlmdVKauv09P,44,236747,0.681,0.703,0,-10.653,1,0.0355,0.00116,0.00341,0.334,0.962,157.925,4.0,R&B
135951,Blood Orange,Chamakay,2iR4oHXi5qsb17b0KHVpon,48,260107,0.762,0.627,11,-8.118,1,0.0403,0.0739,0.000358,0.0965,0.339,110.014,4.0,R&B
